op name, kernel name, queue duration (ms), submit duration (ms), exec duration (ms), global size, local size, output size
ffn_moe_argsort-1,kernel_argsort_f32_i32,5.785000,5.271100,0.012000,64x2x1,64x1x1,64x2x1x1
ffn_moe_weights-1,kernel_get_rows_f32,5.775000,5.283700,0.003000,6x2x1,1x1x1,1x6x2x1
ffn_moe_topk-1,kernel_moe_histogram,5.738000,5.277900,0.003100,64x6x1,64x1x1,6x2x1x1
ffn_moe_topk-1,kernel_moe_scan,0.047200,0.040500,0.013600,1x0x0,1x0x0,6x2x1x1
ffn_moe_topk-1,kernel_moe_fill,0.028200,0.054700,0.002100,64x32x1,64x1x1,6x2x1x1
ffn_moe_topk-1,kernel_moe_scatter,0.019200,0.057300,0.002500,64x6x1,64x1x1,6x2x1x1
ffn_moe_gate-1,kernel_moe_reorder_b,0.132000,0.039300,0.071900,512x2048x1,256x1x1,1408x6x2x1
ffn_moe_gate-1,kernel_gemm_moe_q4_0_f32_ns,0.114000,0.111700,0.807500,64x22x64,64x1x1,1408x6x2x1
ffn_moe_up-1,kernel_moe_reorder_b,0.099000,0.919700,0.070100,512x2048x1,256x1x1,1408x6x2x1
ffn_moe_up-1,kernel_gemm_moe_q4_0_f32_ns,0.088000,0.990400,0.808700,64x22x64,64x1x1,1408x6x2x1
ffn_moe_swiglu-1,kernel_swiglu,0.078000,1.799600,0.003800,6144x1x1,512x1x1,1408x6x2x1
ffn_moe_down-1,kernel_moe_reorder_b,0.060000,1.804000,0.047500,512x2048x1,256x1x1,2048x6x2x1
ffn_moe_down-1,kernel_gemm_moe_q4_0_f32_ns,0.049000,1.852000,0.721400,64x32x64,64x1x1,2048x6x2x1
ffn_moe_out-1,kernel_moe_combine_f32,0.139800,2.456700,0.004700,512x2x0,64x1x0,2048x2x1x1
ffn_gate-1,kernel_transpose_32_16,0.112800,2.461900,0.005000,512x2x0,1x16x0,2816x2x1x1
ffn_gate-1,kernel_gemm_noshuffle_q4_0_f32,0.105800,2.467500,0.328600,1x704x1,1x128x1,2816x2x1x1
ffn_up-1,kernel_transpose_32_16,0.094800,2.796700,0.004800,512x2x0,1x16x0,2816x2x1x1
ffn_up-1,kernel_gemm_noshuffle_q4_0_f32,0.065800,2.802000,0.327200,1x704x1,1x128x1,2816x2x1x1
ffn_swiglu-1,kernel_swiglu,0.050800,3.129700,0.004400,1024x1x1,512x1x1,2816x2x1x1
ffn_shexp-1,kernel_transpose_32_16,0.034800,3.134600,0.006100,704x2x0,1x16x0,2048x2x1x1
ffn_shexp-1,kernel_gemm_noshuffle_q4_0_f32,0.027800,3.141200,0.465900,1x512x1,1x128x1,2048x2x1x1
ffn_out-1,kernel_add,0.167800,3.456900,0.011400,128x1x1,64x1x1,2048x2x1x1
l_out-1,kernel_add,0.133800,3.468900,0.013100,128x1x1,64x1x1,2048x2x1x1
attn_norm-2,kernel_rms_norm_mul,0.106800,3.482600,0.005400,2048x1x1,1024x1x1,2048x2x1x1
q-2,kernel_transpose_32_16,0.096800,3.488500,0.004800,512x2x0,1x16x0,3072x2x1x1
q-2,kernel_gemm_noshuffle_q4_0_f32,0.085800,3.493900,0.336600,1x768x1,1x128x1,3072x2x1x1
q_pe-2,kernel_rope_norm_f32,0.070800,3.831000,0.003200,1024x2x1,64x1x1,64x16x2x1
Qcur-2,kernel_concat_f32,0.059800,3.834700,0.003000,1024x2x1,64x1x1,192x16x2x1
kv_cmpr_pe-2,kernel_transpose_32_16,0.038800,3.838200,0.004900,512x2x0,1x16x0,576x2x1x1
kv_cmpr_pe-2,kernel_gemm_noshuffle_q4_0_f32,0.115400,3.747600,0.322900,1x144x1,1x128x1,576x2x1x1
kv_cmpr-2,kernel_rms_norm_mul,0.082400,4.071000,0.004000,1024x1x1,512x1x1,512x2x1x1
kv-2,kernel_transpose_32_16,0.071400,4.075500,0.003000,128x2x0,1x16x0,4096x2x1x1
kv-2,kernel_gemm_noshuffle_q4_0_f32,0.065400,4.079000,0.086700,1x1024x1,1x128x1,4096x2x1x1
Vcur_cont-2,kernel_cpy_f32_f32,0.053400,4.166200,0.003000,1024x2x1,64x1x1,128x16x2x1
k_pe-2,kernel_rope_norm_f32,0.041400,4.169700,0.002500,64x2x1,64x1x1,64x1x2x1
node_122,kernel_repeat_f32,0.032400,4.172800,0.002500,1024x2x1,64x1x1,64x16x2x1
Kcur-2,kernel_concat_f32,0.021400,4.175800,0.003000,1024x2x1,64x1x1,192x16x2x1
cache_k_l2 (view),kernel_set_rows_f16_i64,0.136200,4.059300,0.003900,2048x1x1,1024x1x1,3072x4096x1x1
cache_v_l2 (view),kernel_set_rows_f16_i64,0.109200,4.063700,0.003300,2048x1x1,1024x1x1,2048x4096x1x1
node_134,flash_attn_blk_f16,0.091200,4.067500,0.005200,16x1x1,0x0x0,128x16x2x1
node_134,flash_attn_f32_f16,0.073200,4.073200,0.110100,16x16x0,16x1x0,128x16x2x1
node_136,kernel_transpose_32_16,0.050200,4.183800,0.004800,512x2x0,1x16x0,2048x2x1x1
node_136,kernel_gemm_noshuffle_q4_0_f32,0.044200,4.189200,0.329300,1x512x1,1x128x1,2048x2x1x1
ffn_inp-2,kernel_add,0.032200,4.519100,0.012900,128x1x1,64x1x1,2048x2x1x1
ffn_norm-2,kernel_rms_norm_mul,0.021200,4.532500,0.005600,2048x1x1,1024x1x1,2048x2x1x1
ffn_moe_logits-2,kernel_mul_mm_f32_f32_l4_lm,0.074600,4.480500,0.474800,128x1x1,128x1x1,64x2x1x1
ffn_moe_probs-2,kernel_soft_max_4,0.044600,4.955800,0.004200,128x1x1,64x1x1,64x2x1x1
ffn_moe_argsort-2,kernel_argsort_f32_i32,0.036600,4.960500,0.012100,64x2x1,64x1x1,64x2x1x1
ffn_moe_weights-2,kernel_get_rows_f32,0.026600,4.973100,0.003000,6x2x1,1x1x1,1x6x2x1
ffn_moe_topk-2,kernel_moe_histogram,0.017600,4.976600,0.002700,64x6x1,64x1x1,6x2x1x1
ffn_moe_topk-2,kernel_moe_scan,0.131800,0.230900,0.015700,1x0x0,1x0x0,6x2x1x1
ffn_moe_topk-2,kernel_moe_fill,0.076800,0.247100,0.002100,64x32x1,64x1x1,6x2x1x1
ffn_moe_topk-2,kernel_moe_scatter,0.056800,0.249700,0.002600,64x6x1,64x1x1,6x2x1x1
ffn_moe_gate-2,kernel_moe_reorder_b,0.242200,0.227200,0.073600,512x2048x1,256x1x1,1408x6x2x1
ffn_moe_gate-2,kernel_gemm_moe_q4_0_f32_ns,0.201200,0.301400,0.807100,64x22x64,64x1x1,1408x6x2x1
ffn_moe_up-2,kernel_moe_reorder_b,0.168200,1.109100,0.070600,512x2048x1,256x1x1,1408x6x2x1
ffn_moe_up-2,kernel_gemm_moe_q4_0_f32_ns,0.144200,1.180300,0.806600,64x22x64,64x1x1,1408x6x2x1
ffn_moe_swiglu-2,kernel_swiglu,0.120200,1.987500,0.004000,6144x1x1,512x1x1,1408x6x2x1
ffn_moe_down-2,kernel_moe_reorder_b,0.097200,1.992000,0.047000,512x2048x1,256x1x1,2048x6x2x1
ffn_moe_down-2,kernel_gemm_moe_q4_0_f32_ns,0.066200,2.039500,0.718400,64x32x64,64x1x1,2048x6x2x1
ffn_moe_out-2,kernel_moe_combine_f32,0.237200,2.559900,0.004400,512x2x0,64x1x0,2048x2x1x1
ffn_gate-2,kernel_transpose_32_16,0.171200,2.564800,0.005100,512x2x0,1x16x0,2816x2x1x1
ffn_gate-2,kernel_gemm_noshuffle_q4_0_f32,0.156200,2.570400,0.315700,1x704x1,1x128x1,2816x2x1x1
ffn_up-2,kernel_transpose_32_16,0.127200,2.886700,0.004800,512x2x0,1x16x0,2816x2x1x1
ffn_up-2,kernel_gemm_noshuffle_q4_0_f32,0.113200,2.892100,0.315100,1x704x1,1x128x1,2816x2x1x1
ffn_swiglu-2,kernel_swiglu,0.088200,3.207700,0.004200,1024x1x1,512x1x1,2816x2x1x1
ffn_shexp-2,kernel_transpose_32_16,0.064200,3.212400,0.006100,704x2x0,1x16x0,2048x2x1x1
ffn_shexp-2,kernel_gemm_noshuffle_q4_0_f32,0.052200,3.219000,0.448100,1x512x1,1x128x1,2048x2x1x1
ffn_out-2,kernel_add,0.276400,3.414100,0.011400,128x1x1,64x1x1,2048x2x1x1
l_out-2,kernel_add,0.214400,3.426000,0.013400,128x1x1,64x1x1,2048x2x1x1
attn_norm-3,kernel_rms_norm_mul,0.182400,3.440000,0.005300,2048x1x1,1024x1x1,2048x2x1x1
q-3,kernel_transpose_32_16,0.160400,3.445800,0.004700,512x2x0,1x16x0,3072x2x1x1
q-3,kernel_gemm_noshuffle_q4_0_f32,0.148400,3.451100,0.323600,1x768x1,1x128x1,3072x2x1x1
q_pe-3,kernel_rope_norm_f32,0.110400,3.775300,0.003000,1024x2x1,64x1x1,64x16x2x1
Qcur-3,kernel_concat_f32,0.083400,3.778800,0.003300,1024x2x1,64x1x1,192x16x2x1
kv_cmpr_pe-3,kernel_transpose_32_16,0.032400,3.782700,0.004800,512x2x0,1x16x0,576x2x1x1
kv_cmpr_pe-3,kernel_gemm_noshuffle_q4_0_f32,0.252600,3.560400,0.309600,1x144x1,1x128x1,576x2x1x1
kv_cmpr-3,kernel_rms_norm_mul,0.190600,3.870500,0.003900,1024x1x1,512x1x1,512x2x1x1
kv-3,kernel_transpose_32_16,0.164600,3.874900,0.003000,128x2x0,1x16x0,4096x2x1x1
kv-3,kernel_gemm_noshuffle_q4_0_f32,0.152600,3.878400,0.083600,1x1024x1,1x128x1,4096x2x1x1
Vcur_cont-3,kernel_cpy_f32_f32,0.126600,3.962600,0.002900,1024x2x1,64x1x1,128x16x2x1
k_pe-3,kernel_rope_norm_f32,0.095600,3.966000,0.002500,64x2x1,64x1x1,64x1x2x1
